fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4
7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7
